ID,County,2000Population,CountySeat,StateAbbreviation,StateName
649,Butte County,2899,Arco ,ID
650,Bingham County,41735,Blackfoot ,ID
651,Ada County,300904,Boise ,ID
652,Boundary County,9871,Bonners Ferry ,ID
653,Cassia County,21416,Burley ,ID
654,Canyon County,131441,Caldwell ,ID
655,Valley County,7651,Cascade ,ID
656,Custer County,4342,Challis ,ID
657,Kootenai County,108685,Coeur d Alene  ,ID
658,Adams County,3476,Council ,ID
659,Teton County,5999,Driggs ,ID
660,Clark County,1022,Dubois ,ID
661,Gem County,15181,Emmett ,ID
662,Camas County,991,Fairfield ,ID
663,Gooding County,14155,Gooding ,ID
